epoch,epoch,Agglomerative,KMeans,Spectral
36,,1.0,1.0,-0.006658343736995423
37,,0.9599725554098923,1.0,-0.006658343736995423
38,,0.9207702484198148,1.0,-0.006658343736995423
39,,0.8448275862068966,1.0,-0.006658343736995423
40,,1.0,1.0,-0.006658343736995423
41,,0.9207702484198148,1.0,-0.006658343736995423
42,,0.8080808080808081,1.0,-0.006658343736995423
43,,0.9207702484198148,1.0,-0.006658343736995423
44,,0.8080808080808081,1.0,-0.006658343736995423
45,,0.882389682918764,1.0,-0.006658343736995423
